Label,Unnamed: 1,source,Target,Type,Weight
1959,Whitney,48,10000,Directed,1
1957,Whitney,49,10000,Directed,1
1961,Whitney,50,10000,Directed,1
1963,Whitney,51,10000,Directed,1
1938,Whitney,52,10000,Directed,1
1936,Whitney,53,10000,Directed,1
1937,Whitney,54,10000,Directed,1
1943,Whitney,55,10000,Directed,1
1951,Whitney,56,10000,Directed,1
1931,Whitney,57,10000,Directed,1
1973,Whitney,58,10000,Directed,1
1972,Whitney,59,10000,Directed,1
1932,Whitney,60,10000,Directed,1
1962,Whitney,61,10000,Directed,1
1954,Whitney,62,10000,Directed,1
1967,Whitney,63,10000,Directed,1
1974,Whitney,64,10000,Directed,1
1927,Whitney,66,10000,Directed,1
1926,Whitney,67,10000,Directed,1
1968,Whitney,68,10000,Directed,1
1975,Whitney,69,10000,Directed,1
1976,Whitney,70,10000,Directed,1
1941,Whitney,71,10000,Directed,1
1977,Whitney,72,10000,Directed,1
1942,Whitney,73,10000,Directed,1
1978,Whitney,74,10000,Directed,1
1956,Whitney,75,10000,Directed,1
1979,Whitney,76,10000,Directed,1
1923,Whitney,77,10000,Directed,1
1922,Whitney,78,10000,Directed,1
1912,Whitney,79,10000,Directed,1
1980,Whitney,80,10000,Directed,1
1981,Whitney,81,10000,Directed,1
1925,Whitney,82,10000,Directed,1
1982,Whitney,83,10000,Directed,1
1983,Whitney,84,10000,Directed,1
1984,Whitney,85,10000,Directed,1
1893,Whitney,86,10000,Directed,1
1985,Whitney,87,10000,Directed,1
1986,Whitney,88,10000,Directed,1
1987,Whitney,90,10000,Directed,1
1899,Whitney,91,10000,Directed,1
1988,Whitney,92,10000,Directed,1
1989,Whitney,93,10000,Directed,1
1990,Whitney,94,10000,Directed,1
1991,Whitney,95,10000,Directed,1
1903,Whitney,96,10000,Directed,1
1992,Whitney,97,10000,Directed,1
1993,Whitney,98,10000,Directed,1
1994,Whitney,99,10000,Directed,1
1995,Whitney,100,10000,Directed,1
1996,Whitney,101,10000,Directed,1
1997,Whitney,102,10000,Directed,1
1998,Whitney,103,10000,Directed,1
1898,Whitney,108,10000,Directed,1
1901,Whitney,111,10000,Directed,1
1999,Whitney,112,10000,Directed,1
2000,Whitney,113,10000,Directed,1
2001,Whitney,114,10000,Directed,1
2002,Whitney,115,10000,Directed,1
2003,Whitney,116,10000,Directed,1
2005,Whitney,117,10000,Directed,1
2004,Whitney,118,10000,Directed,1
2006,Whitney,119,10000,Directed,1
1895,Whitney,120,10000,Directed,1
2007,Whitney,121,10000,Directed,1
2008,Whitney,122,10000,Directed,1
2009,Whitney,123,10000,Directed,1
2010,Whitney,124,10000,Directed,1
2011,Whitney,125,10000,Directed,1
2012,Whitney,126,10000,Directed,1
2012,Whitney,126,10000,Directed,1
2013,Whitney,127,10000,Directed,1
1880,Whitney,128,10000,Directed,1
1882,Whitney,129,10000,Directed,1
1890,Whitney,130,10000,Directed,1
1891,Whitney,131,10000,Directed,1
1892,Whitney,132,10000,Directed,1
1896,Whitney,133,10000,Directed,1
1897,Whitney,134,10000,Directed,1
2014,Whitney,135,10000,Directed,1
2015,Whitney,136,10000,Directed,1
2016,Whitney,137,10000,Directed,1
2017,Whitney,138,10000,Directed,1
2018,Whitney,139,10000,Directed,1
2019,Whitney,140,10000,Directed,1
2020,Whitney,141,10000,Directed,1
1870s,Whitney,142,10000,Directed,1
1920s,Whitney,143,10000,Directed,1
1925s,Whitney,144,10000,Directed,1
1929s,Whitney,145,10000,Directed,1
1930s,Whitney,146,10000,Directed,1
1930ss,Whitney,147,10000,Directed,1
1933s,Whitney,148,10000,Directed,1
1940s,Whitney,149,10000,Directed,1
1944s,Whitney,150,10000,Directed,1
1950s,Whitney,151,10000,Directed,1
1955s,Whitney,152,10000,Directed,1
1960s,Whitney,153,10000,Directed,1
1962s,Whitney,154,10000,Directed,1
1963s,Whitney,155,10000,Directed,1
1967s,Whitney,156,10000,Directed,1
1970s,Whitney,157,10000,Directed,1
1977s,Whitney,158,10000,Directed,1
1980s,Whitney,159,10000,Directed,1
1990s,Whitney,160,10000,Directed,1
n.d,Whitney,161,10000,Directed,1
Unknown,Whitney,162,10000,Directed,1
