Artist,Year
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1900
Anni Albers,1948
Anni Albers,1949
Anni Albers,1945
Edward Avedisian,1969
Conrad Marca-Relli,1955
Wilhelm Hunt Diederich,1920
Fair-Tex Mills,1970
Jasco Fabrics,1970
Will and Eileen Richardson,1970
Amicale Industries,1970
Shamokin Woolen Mills,1970
Balfour Mills,1970
Saul Goldman|Borg Fabrics,1970
Saul Goldman|Borg Fabrics,1970
Preston Dickinson,1924
Hal Reed,1970
Mark Rothko,1960
Leon Polk Smith,1949
Worden Day,1969
Ward Lockwood,1921
Man Ray,1924
Man Ray,1947
Peer Smed,1935
Frank Stella,1964
"Tom Allen, Jr.",1970
Albert Christ-Janer,1966
Calister Thomas,1970
Beverly Nusom,1971
Calister Thomas,1969
Calister Thomas,1970
Roger Baker,1960
Peter Blume,1939
Peter Blume,1958
Kenneth Callahan,1959
Edward Melcarth,1914
Van Day Truex,1904
Van Day Truex,1904
Kenneth Callahan,1950
Leonid,1949
Walter Stuempfig,1914
Richard Diebenkorn,1970
David Smith,1965
Ellsworth Kelly,1960
Herbert Gentry,1971
William Baziotes,1957
Moïse Kisling|Jacques Lipchitz,1920
Philip Guston,1961
Hale Woodruff,1971
Josef Albers,1921
Josef Albers,1970
Josef Albers,1949
Josef Albers,1950
Josef Albers,1921
Josef Albers,1949
Josef Albers,1948
Josef Albers,1947
Josef Albers,1969
Josef Albers,1969
Josef Albers,1963
Josef Albers,1971
Ely Jacques Kahn,1911
Thomas Sills,1970
James Whitney Fosburgh,1971
Dorothy Liebes,1938
Dorothy Liebes,1934
Dorothy Liebes,1934
Dorothy Liebes,1934
Dorothy Liebes,1934
Dorothy Liebes,1934
Dorothy Liebes,1934
Dorothy Liebes,1935
Dorothy Liebes,1936
Dorothy Liebes,1937
Dorothy Liebes,1938
Dorothy Liebes,1938
Dorothy Liebes,1938
Dorothy Liebes,1939
Dorothy Liebes,1939
Dorothy Liebes,1939
Dorothy Liebes,1939
Dorothy Liebes,1940
Dorothy Liebes,1940
Dorothy Liebes,1940
Dorothy Liebes,1940
Dorothy Liebes,1940
Dorothy Liebes,1950
Dorothy Liebes,1943
Dorothy Liebes,1946
Dorothy Liebes,1947
Dorothy Liebes,1947
Dorothy Liebes,1947
Dorothy Liebes,1947
Dorothy Liebes,1947
Dorothy Liebes,1947
Dorothy Liebes,1947
Dorothy Liebes,1947
Dorothy Liebes,1940
Dorothy Liebes,1947
Dorothy Liebes,1947
Dorothy Liebes,1947
Dorothy Liebes,1947
Dorothy Liebes,1947
Dorothy Liebes,1947
Dorothy Liebes,1947
Dorothy Liebes,1947
Dorothy Liebes,1948
Dorothy Liebes,1948
Dorothy Liebes,1963
Dorothy Liebes,1948
Dorothy Liebes,1948
Dorothy Liebes,1948
Dorothy Liebes,1948
Dorothy Liebes,1948
Dorothy Liebes,1948
Dorothy Liebes,1948
Dorothy Liebes,1949
Dorothy Liebes,1949
Dorothy Liebes,1949
Dorothy Liebes,1947
Dorothy Liebes,1950
Dorothy Liebes,1949
Dorothy Liebes,1949
Dorothy Liebes,1951
Dorothy Liebes,1951
Dorothy Liebes,1951
Dorothy Liebes,1951
Dorothy Liebes,1950
Dorothy Liebes,1952
Dorothy Liebes,1953
Dorothy Liebes,1952
Dorothy Liebes,1955
Dorothy Liebes,1950
Dorothy Liebes,1952
Dorothy Liebes,1952
Dorothy Liebes,1952
Dorothy Liebes,1952
Dorothy Liebes,1952
Dorothy Liebes,1953
Dorothy Liebes,1966
Dorothy Liebes,1966
Dorothy Liebes,1950
Dorothy Liebes,1940
Dorothy Liebes,1940
Dorothy Liebes,1940
Dorothy Liebes,1900
Dorothy Liebes,1940
Dorothy Liebes,1955
Philip Guston,1960
Steuben|Frederick Carder,1931
Jack Lenor Larsen,1900
Jack Lenor Larsen,1900
Jack Lenor Larsen,1900
Raymond Parker,1959
Carlos Osorio,1973
Barbara Chase-Riboud,1972
Hobson Pittman,1932
Hobson Pittman,1963
Hobson Pittman,1958
Hobson Pittman,1958
Hobson Pittman,1963
Hobson Pittman,1962
Hobson Pittman,1957
Hobson Pittman,1954
Hobson Pittman,1966
Friedel Dzubas,1972
Louise Bourgeois,1967
Esteban Vicente,1972
Malvina Cornell Hoffman,1946
Larry Poons,1972
Gene Davis,1959
Jack Lenor Larsen,1971
Jack Lenor Larsen,1971
Don Wight,1970
Don Wight,1961
Jack Lenor Larsen,1961
Wendy Klein,1971
Yoshiko Kogo,1971
Yoshiko Kogo,1971
Jack Lenor Larsen,1969
Countess Elsie Lee Gozzi|Fortuny,1935
Countess Elsie Lee Gozzi|Fortuny,1935
Countess Elsie Lee Gozzi|Fortuny,1935
Countess Elsie Lee Gozzi|Fortuny,1935
Countess Elsie Lee Gozzi|Fortuny,1935
Countess Elsie Lee Gozzi|Fortuny,1935
Countess Elsie Lee Gozzi|Fortuny,1935
Countess Elsie Lee Gozzi|Fortuny,1935
Michael Hurson,1971
Gandy Brodie,1970
Sally Hazelet Drummond,1973
Christopher Wilmarth,1974
Isamu Noguchi,1945
Chunghi Choo,1970
Sylvia Carewe,1959
Ilya Bolotowsky,1938
George Bellows,1916
Eugene Speicher,1883
Guy Pène du Bois,1931
Reginald Marsh,1932
Jan Matulka,1927
Jan Matulka,1927
Preston Dickinson,1930
George Bellows,1910
Edward Hopper,1929
Eugene Speicher,1883
Edward Hopper,1927
Edward Hopper,1927
Charles Ephraim Burchfield,1950
Charles Demuth,1927
Ernest Fiene,1936
Ernest Fiene,1936
Ernest Fiene,1936
Peggy Bacon,1936
Eugene Speicher,1883
Eugene Speicher,1883
Pavel Tchelitchew,1938
Dan Flavin,1963
Jacques Lipchitz,1926
Kenneth Noland,1968
Dan Christensen,1968
Ludwig Sander,1968
Raoul Hague,1965
Palmer Hayden,1930
James Prestini,1939
James Prestini,1939
James Prestini,1939
James Prestini,1939
James Prestini,1939
James Prestini,1939
James Prestini,1939
James Prestini,1939
Theodore Hallman,1900
Jack Whitten,1975
Jules Olitski,1966
Barnett Newman,1963
Conrad Marca-Relli,1960
James Brooks,1963
Adolph Gottlieb,1964
Esteban Vicente,1966
Willem de Kooning,1966
Alex Katz,1974
Milton Avery,1947
Roland R. Correia,1975
Roland R. Correia,1975
Gilbert M. Fletcher,1900
Maxwell Hendler,1965
Max Weber,1933
Max Weber,1933
Richard Hennessy,1975
Max Weber,1916
N.C. Wyeth,1944
Hans Hofmann,1965
Umberto Romano,1940
Ludwig Sander,1974
Alexander Liberman,1959
Alexander Liberman,1963
Karl Knaths,1950
Anne Truitt,1974
Elie Nadelman,1908
Richard Serra,1972
Marcel Duchamp,1909
Marcel Duchamp,1909
Marcel Duchamp,1909
Marcel Duchamp,1907
Pavel Tchelitchew,1928
Charles Picco,1960
Oscar Bluemner,1914
Edward Marshall Boehm,1940
Edward Marshall Boehm,1940
Edward Marshall Boehm,1940
Santo Bufalo,1900
Santo Bufalo,1900
Santo Bufalo,1900
Santo Bufalo,1900
Russel Wright,1930
Ilya Bolotowsky,1975
Gandy Brodie,1970
Andrew Wyeth,1969
George A. Weymouth,1968
Andrew Wyeth,1959
Al Held,1975
Fairfield Porter,1973
Walter Darby Bannard,1975
Morris Louis,1961
Milton Avery,1947
Arthur B. Carles,1935
Fairfield Porter,1962
Walter Darby Bannard,1965
Marguerite Zorach|William Zorach,1918
Marguerite Zorach|William Zorach,1918
Marguerite Zorach|William Zorach,1918
Rockwood Pottery Co.,1919
Ad Reinhardt,1950
Arman,1976
James Prestini,1940
James Prestini,1940
James Prestini,1940
James Prestini,1939
James Prestini,1940
James Prestini,1940
James Prestini,1940
James Prestini,1940
James Prestini,1940
James Prestini,1940
James Prestini,1940
Gilbert Rohde,1935
"Gilbert Rohde|The Herman Miller Furniture Company, Zeeland, MI",1935
"Reimann|Chase Brass & Copper Company, Inc. (Waterbury, Connecticut)",1931
"Reimann|Chase Brass & Copper Company, Inc. (Waterbury, Connecticut)",1931
Joseph Cornell,1953
Alice Trumbull Mason,1945
Alice Trumbull Mason,1945
Maxwell Hendler,1975
Maxwell Hendler,1975
Maxwell Hendler,1975
Russel Wright|Yamato China Co. Ltd.,1963
Russel Wright|Yamato China Co. Ltd.,1963
Russel Wright|Yamato China Co. Ltd.,1963
Russel Wright|Yamato China Co. Ltd.,1963
Russel Wright|Yamato China Co. Ltd.,1963
Russel Wright|Paden City Pottery Company,1944
Russel Wright|Paden City Pottery Company,1944
Russel Wright|Paden City Pottery Company,1944
Russel Wright|Paden City Pottery Company,1944
Russel Wright|Paden City Pottery Company,1944
Russel Wright|Paden City Pottery Company,1944
Russel Wright|Yamato China Co. Ltd.,1963
Russel Wright|Paden City Pottery Company,1944
Russel Wright|Paden City Glass,1944
Russel Wright|Iroquois China Company,1950
Russel Wright|Iroquois China Company,1950
Russel Wright|Harker Pottery Company,1951
Russel Wright|Steubenville Pottery Company,1937
Russel Wright|Steubenville Pottery Company,1937
Russel Wright|Steubenville Pottery Company,1937
Russel Wright|Steubenville Pottery Company,1937
Russel Wright|Steubenville Pottery Company,1937
Russel Wright|Yamato China Co. Ltd.,1963
Russel Wright|Steubenville Pottery Company,1937
Russel Wright|Steubenville Pottery Company,1937
Russel Wright|Steubenville Pottery Company,1937
Russel Wright|Steubenville Pottery Company,1937
Russel Wright|Steubenville Pottery Company,1937
Russel Wright|Steubenville Pottery Company,1937
Russel Wright|J.A. Bauer Pottery Company,1940
Russel Wright|J.A. Bauer Pottery Company,1940
Russel Wright|Klise Wood Working Company,1930
Russel Wright|Klise Wood Working Company,1935
Russel Wright|Appleman Art Glass,1941
Russel Wright|Morgantown Glassware Guild,1946
Russel Wright|Morgantown Glassware Guild,1946
Russel Wright|Morgantown Glassware Guild,1946
Russel Wright|Morgantown Glassware Guild,1946
Russel Wright|Morgantown Glassware Guild,1946
Russel Wright|Morgantown Glassware Guild,1946
Russel Wright|Morgantown Glassware Guild,1946
Russel Wright|Yamato China Co. Ltd.,1960
Russel Wright|Yamato China Co. Ltd.,1963
Russel Wright|Yamato China Co. Ltd.,1963
Russel Wright|Yamato China Co. Ltd.,1960
Russel Wright|Yamato China Co. Ltd.,1960
Russel Wright,1930
Russel Wright,1930
Russel Wright,1930
Russel Wright,1928
Russel Wright,1928
Russel Wright|John Hull Cutlery Corp.,1946
Russel Wright|John Hull Cutlery Corp.,1946
Russel Wright|John Hull Cutlery Corp.,1946
Russel Wright|Yamato China Co. Ltd.,1963
Russel Wright|John Hull Cutlery Corp.,1946
Russel Wright|John Hull Cutlery Corp.,1946
Russel Wright|Yamato China Co. Ltd.,1958
Russel Wright|Paden City Pottery Company,1944
Russel Wright,1963
Russel Wright|Steubenville Pottery Company,1937
Russel Wright|Yamato China Co. Ltd.,1958
Russel Wright|Yamato China Co. Ltd.,1958
Russel Wright|Yamato China Co. Ltd.,1963
Romare Bearden,1975
John McLaughlin,1970
Dale Chihuly,1976
Dale Chihuly,1977
Bob Thompson,1964
Charles Demuth,1921
Dale Chihuly,1977
D.B. Fuller & Co,1940
Clyfford Still,1946
Wendell Castle,1973
Andy Warhol,1972
Jules Pascin,1927
Edward Avedisian,1977
Edward Avedisian,1977
Esteban Vicente,1976
Blythe Bohnen,1974
Theodoros Stamos,1948
Betty Blayton-Taylor,1977
Norman Bluhm,1959
Harvey K. Littleton,1976
Chryssa,1970
Jules Olitski,1973
William Baziotes,1947
Dominick Labino,1977
Willem de Kooning,1942
Maxwell Hendler,1965
Charles Ephraim Burchfield,1957
David Budd,1975
Kenneth Noland,1959
Jon Carsman,1977
John Canonico,1949
Neil Welliver,1977
Peter Agostini,1941
Michael Hurson,1977
Melvin Lindquist,1977
Mark Lindquist,1975
Mark Lindquist,1977
Melvin Lindquist,1976
Red Grooms,1969
Howardena Pindell,1977
Howardena Pindell,1973
Peter Agostini,1950
Peter Agostini,1949
Peter Agostini,1947
Peter Agostini,1949
Peter Agostini,1948
Peter Agostini,1948
Peter Agostini,1947
Peter Agostini,1947
Christopher Wilmarth,1977
Nancy Graves,1977
Jennifer Bartlett,1977
Jennifer Bartlett,1977
Yvonne Jacquette,1976
Nell Blaine,1942
Nell Blaine,1943
Joel Shapiro,1978
Joel Shapiro,1978
Dorothy Ruddick,1978
Yvonne Jacquette,1969
Fairfield Porter,1975
Anne Arnold,1965
Jane Wilson,1964
Jane Freilicher,1976
Thomas Patti,1977
John H. Hopkins,1929
John H. Hopkins,1929
Richard Pousette-Dart,1976
Ponte Vecchio of New York and Florence,1976
Wayne Thiebaud,1963
Richard Haas,1973
Edwin Dickinson,1964
Nell Blaine,1944
Roy Lichtenstein,1978
Roy Lichtenstein,1978
Larry Rivers,1977
Alan Shields,1977
Philip Pearlstein,1965
Fairfield Porter,1957
James Denmark,1972
Raymond Parker,1978
Alfonso Ossorio,1965
Hale Woodruff,1971
Fairfield Porter,1958
John Day,1976
Brice Marden,1968
David Smith,1965
Harvey K. Littleton,1976
Peter Müller-Munk,1931
Peter Müller-Munk,1931
Peter Müller-Munk,1931
Peter Müller-Munk,1931
Peter Müller-Munk,1931
Paul Resika,1945
Maurice Berezov,1939
Maurice Berezov,1939
Fritz Bultman,1938
Lillian Kiesler,1930
Lillian Kiesler,1930
Lee Krasner,1940
Perle Fine,1938
Perle Fine,1939
William Freed,1940
William Freed,1940
Lila Katzen,1950
Lila Katzen,1950
John Grillo,1948
Peter Busa,1934
Peter Busa,1934
Wolf Kahn,1947
Wolf Kahn,1947
Robert Goodnough,1947
Nicholas Krushenick,1951
Nicholas Krushenick,1952
Jane Freilicher,1947
Jane Freilicher,1947
John Haley,1927
John Haley,1927
John Haley,1927
John Haley,1927
Lillian Orlowsky,1940
Cameron Booth,1927
Cameron Booth,1927
Cameron Booth,1927
Cameron Booth,1927
Cameron Booth,1927
Dorothy Heller,1943
Nieves Marshaleck Billmyer,1952
Leatrice Rose,1947
Erle Loran,1955
Erle Loran,1955
George McNeil,1933
George McNeil,1933
Seong Moy,1941
Seong Moy,1941
Quentin Fiore,1938
Joseph Urban,1920
"Walter von Nessen|Nessen Studio, Inc.",1930
"Gilbert Rohde|The Troy Sunshade Company (Troy, Ohio)",1930
George Sakier|Fostoria Glass Company,1930
George Sakier|Fostoria Glass Company,1930
Juan Hamilton,1974
Juan Hamilton,1975
Joseph Hirsch,1962
Hale Woodruff,1967
Rockwell Kent,1909
Larry Zox,1966
Jasper Johns,1961
Alexander Liberman,1968
Robert Goodnough,1965
David Smith,1957
Robert Kulicke,1963
Willard Boepple,1977
Clifford Ross,1976
Alexander Liberman,1959
Robert Beauchamp,1960
Kenneth Noland,1967
Virginia Admiral,1941
Richard Stankiewicz,1951
Stephen Pace,1951
Stephen Pace,1951
Lillian Abrams,1928
Lillian Abrams,1928
Harry Brown,1928
Harry Brown,1928
Judith Rothschild,1943
Jerome Burns,1942
Hans Hofmann,1942
Basil Cimino,1951
Basil Cimino,1942
Basil Cimino,1942
Basil Cimino,1942
Romare Bearden,1971
Tania Milicevic,1967
Tania Milicevic,1967
William Crozier,1976
Hans Hokanson,1977
Phillip Pavia,1968
Phillip Pavia,1959
Phillip Pavia,1962
Phillip Pavia,1962
Phillip Pavia,1967
Phillip Pavia,1968
Alex Katz,1976
Charles Cajori,1976
Charles Cajori,1976
Richard Yarde,1977
Mark di Suvero,1974
"Corbett, Harrison & MacMurray|Hood & Fouilhoux|Reinhard & Hofmeister|W. S. Tyler Cab Co.|Mr. and Mrs. S.E. Barnette",1935
Gertrude Glass Greene,1948
Kay Hillman,1951
Zita Querido,1956
Antoinette Laselle,1944
Fay Lansner,1947
Morris Graves,1957
Pavel Tchelitchew,1932
Pavel Tchelitchew,1932
John Button,1977
Neil Welliver,1977
I. J. Belmont,1915
I. J. Belmont,1945
I. J. Belmont,1900
Sydney Butchkes,1977
Sydney Butchkes,1977
Sydney Butchkes,1977
Dorothy Dehner,1979
Wolf Kahn,1979
Michael Heizer,1977
Maurice Heaton,1930
Maurice Heaton,1930
Maurice Heaton,1930
Maurice Heaton,1930
Maurice Heaton,1930
E. Byrne Livingston,1937
E. Byrne Livingston,1937
E. Byrne Livingston,1935
E. Byrne Livingston,1930
E. Byrne Livingston,1930
E. Byrne Livingston,1930
E. Byrne Livingston,1930
E. Byrne Livingston,1930
Jay S. Willis,1972
Ernest Trova,1969
Sam Gilliam,1979
Alex Katz,1978
Alex Katz,1978
Maurice Heaton,1950
Ilonka Karasz|Paye & Baker Mfg. Co.,1923
Ilonka Karasz|Paye & Baker Mfg. Co.,1923
Ilonka Karasz|Paye & Baker Mfg. Co.,1923
Ilonka Karasz|Paye & Baker Mfg. Co.,1923
Jules Bouy,1930
William Zorach,1922
Marguerite Zorach,1911
William Zorach,1914
Marguerite Zorach,1912
Marguerite Zorach,1912
Marguerite Zorach,1911
Marguerite Zorach,1912
Peggy Huck,1958
Thomas Lanigan-Schmidt,1976
Ludwig Sander,1931
Ludwig Sander,1931
Rafael Ferrer,1973
Walter Dusenbery,1977
Charles Eames|Ray Eames,1946
Glenn Wessels,1929
Glenn Wessels,1939
Glenn Wessels,1929
Marilyn Davidson,1975
Michael Jerry,1975
Frederick J. Brown,1978
Wharton Esherick,1962
Charles Baskerville,1940
Ray Eames,1933
Gerome Kamrowski,1938
Giorgio Cavallon,1938
Giorgio Cavallon,1938
Giorgio Cavallon,1938
Dan Dailey,1979
George Sugarman,1953
Charles Seliger,1977
Lee Gatch,1942
Milton Avery,1933
Fairfield Porter,1963
Andy Warhol,1967
Raphael Soyer,1932
Robert Gruen,1939
Robert Gruen,1939
Robert Gruen,1938
"Robert Gruen|Sweden House, Inc.",1940
Robert Gruen|Parker Pen Company,1945
Robert Gruen|Parker Pen Company,1945
Robert Gruen|Parker Pen Company,1945
Robert Gruen|Parker Pen Company,1945
Robert Gruen|Parker Pen Company,1945
Robert Gruen,1938
Jim Dine,1959
Hans Hofmann,1952
Audrey Flack,1971
"Van Day Truex|Baccarat, France",1973
Peter Reginato,1970
Jo Anne Schneider,1975
Jo Anne Schneider,1975
Jo Anne Schneider,1975
Jo Anne Schneider,1975
Donald Deskey|Ypsilanti Reed Furniture Company,1924
Robert De Niro,1941
Henry Varnum Poor,1930
Charles Baskerville,1977
Fairfield Porter,1973
Fairfield Porter,1973
Michael Vivo,1979
Michael Vivo,1978
"John E. Dowell, Jr.",1979
"John E. Dowell, Jr.",1980
"John E. Dowell, Jr.",1979
"John E. Dowell, Jr.",1978
Rafael Ferrer,1979
Janet Fish,1979
Howardena Pindell,1979
Bruce Boice,1977
"John E. Dowell, Jr.",1978
Mary Ann Scherr,1979
Jess,1974
Jon Kuhn,1980
Walt Kuhn,1937
Maurice Golubov,1936
Maurice Golubov,1978
Maurice Golubov,1929
Maurice Golubov,1929
Anthony de Francisci,1935
Jerome Witkin,1979
Abraham Rattner,1968
Mary Callery,1946
Charles Biederman,1936
Eero Saarinen|Knoll,1956
Andy Warhol,1972
Malcolm Morley,1966
Charmion von Wiegand,1958
Charmion von Wiegand,1946
Reuben Nakian,1948
William King,1949
Milton Resnick,1949
Alice Baber,1979
Cy Twombly,1970
Hans Hokanson,1979
Hans Hokanson,1979
Hans Hokanson,1979
Sonia Gechtoff,1979
William Gropper,1962
Raphael Soyer,1935
Robert Ebendorf|David-Andersen,1978
Robert Ebendorf,1978
"The Company of Master Craftsmen, for W. & J. Sloane|Unknown Designer",1926
Gwenn Thomas,1980
Gwenn Thomas,1980
Robert De Niro,1976
Robert De Niro,1976
Maryam Zafar,1980
Maryam Zafar,1979
Warren Brandt,1979
Ludwig Mies van der Rohe,1927
McArthur Binion,1978
McArthur Binion,1977
Elie Nadelman,1913
Dennis Ashbaugh,1979
Claudia Helene Jemmott,1979
Claudia Helene Jemmott,1979
Michael Glancy,1980
William Harper,1978
Charles Biederman,1938
Roy Lichtenstein,1978
Dennis Ashbaugh,1979
Joan Witek,1980
Joan Witek,1978
Joan Witek,1978
William Wyman,1977
Kjels Juul-Hansen,1963
Kjels Juul-Hansen,1940
Kjels Juul-Hansen,1940
Kjels Juul-Hansen,1900
Kjels Juul-Hansen,1940
Kjels Juul-Hansen,1900
Kjels Juul-Hansen|Astro Dye Works,1900
Kjels Juul-Hansen,1941
Kjels Juul-Hansen,1900
Kjels Juul-Hansen,1900
Kjels Juul-Hansen,1933
Kjels Juul-Hansen,1963
Kjels Juul-Hansen,1963
Kjels Juul-Hansen,1963
Kjels Juul-Hansen,1945
Kjels Juul-Hansen,1945
Kjels Juul-Hansen,1940
Kjels Juul-Hansen,1940
Kjels Juul-Hansen,1940
"Donald Deskey|Lesher, Whitman and Company",1930
Charles Eames|Ray Eames,1952
Charles Sarka,1900
Abraham Walkowitz,1906
George Bellows,1922
Bernard Pfriem,1963
Tony Smith,1970
Will Barnet,1976
Yvonne Jacquette,1980
Wayne Higby,1975
Wayne Higby,1975
Wayne Higby,1975
Wayne Higby,1975
Sidney Goodman,1959
Sidney Goodman,1959
Sidney Goodman,1959
Al Loving,1975
Malcolm Bailey,1972
William Clutz,1980
Joyce Kozloff,1979
William Clutz,1980
John Ferren,1937
Chunghi Choo,1979
Joyce Treiman,1977
Joyce Treiman,1977
John Clem Clarke,1968
Ed Baynard,1979
Chaim Gross,1942
Moses Soyer,1942
Moses Soyer,1942
Patricia Johanson,1980
Richard Anuszkiewicz,1969
Isamu Noguchi,1979
Walter Dorwin Teague|Edwin W. Fuerst|Libbey Glass Company,1939
Walter Dorwin Teague|Edwin W. Fuerst,1939
Walter Dorwin Teague|Edwin W. Fuerst,1939
Libbey Glass Company|Edwin W. Fuerst,1939
Don Bachardy,1976
Don Bachardy,1967
Don Bachardy,1981
Don Bachardy,1978
Don Bachardy,1968
John Lonergan,1948
John Lonergan,1930
John Little,1938
Norman Rockwell,1954
Norman Rockwell,1924
Marguerite Zorach,1925
Marguerite Zorach,1925
Judith Godwin,1953
George Segal,1977
Patricia Johanson,1980
Gene Davis,1978
"Charles Eames|Ray Eames|The Herman Miller Furniture Company, Zeeland, MI",1945
Robert Arneson,1978
Robert Arneson,1978
Mark Tobey,1933
Giles Gilson,1980
Robert Ebendorf,1979
Robert Ebendorf,1979
Robert Ebendorf,1979
Roger Essley,1980
Paul Rotterdam,1979
Frances Barth,1978
Leon Kelly,1940
Richard Anuszkiewicz,1973
Georgia O'Keeffe,1917
Joan Snyder,1975
Frances Barth,1978
Steven Weinberg,1981
William Carlson,1981
Akiko Kotani,1977
Howard Ben Tré,1981
Nancy Hemenway,1979
Doug Ohlson,1980
Nancy Giesmann,1980
Bob Thompson,1960
Albert Paley,1981
Cynthia Schira,1981
Helen Frankenthaler,1977
Mervin Honig,1967
Georgia O'Keeffe,1917
Howardena Pindell,1980
Glen Lukens,1945
Glen Lukens,1945
Glen Lukens,1945
Glen Lukens,1945
Burgoyne Diller,1961
Burgoyne Diller,1961
Georgia O'Keeffe,1922
Samuel Halpert,1919
Bill Jensen,1981
Luise Kaish,1981
Craig Langager,1980
Charles Eames|Ray Eames,1950
Marilyn Holsing,1981
Marilyn Holsing,1981
Will Barnet,1967
Will Barnet,1970
Stuart Davis,1934
Alice Neel,1967
Margo Hoff,1981
Philip Pearlstein,1974
Edda Renouf,1979
Adolph Gottlieb,1957
Frederick Hurten Rhead|Homer Laughlin China Company,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Homer Laughlin China Company|Frederick Hurten Rhead,1936
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
Frederick Hurten Rhead,1930
"Walter Dorwin Teague|Taylor, Smith, & Taylor",1951
"Walter Dorwin Teague|Taylor, Smith, & Taylor",1951
"Walter Dorwin Teague|Taylor, Smith, & Taylor",1951
"Walter Dorwin Teague|Taylor, Smith, & Taylor",1951
"Walter Dorwin Teague|Taylor, Smith, & Taylor",1951
"Walter Dorwin Teague|Taylor, Smith, & Taylor",1951
"Walter Dorwin Teague|Taylor, Smith, & Taylor",1951
"Walter Dorwin Teague|Taylor, Smith, & Taylor",1951
The Hall China Company|J. Palin Thorley,1940
Elie Nadelman,1914
Alfred Leslie,1968
Morris Shulman,1950
Mark Tobey,1957
Marguerite Zorach,1912
Helen Torr,1929
Jo Davidson,1922
Robert Smithson,1967
Hananiah Harari,1940
Werner Drewes,1941
John Sennhauser,1942
Harry Bowden,1936
Dwinell Grant,1941
Robert Smithson,1965
Sylvia Carewe|Manufacture Royale Braquenie d'Aubusson de Felletin et de Maillines,1960
Sylvia Carewe|Manufacture Royale Braquenie d'Aubusson de Felletin et de Maillines,1960
