Label,id,node
Walter Dorwin Teague|Edwin W. Fuerst,539,539
Libbey Glass Company|Edwin W. Fuerst,540,540
Don Bachardy,541,541
John Lonergan,542,542
John Little,543,543
Norman Rockwell,544,544
Judith Godwin,545,545
George Segal,546,546
"Charles Eames|Ray Eames|The Herman Miller Furniture Company, Zeeland, MI",547,547
Robert Arneson,548,548
Mark Tobey,549,549
Giles Gilson,550,550
Roger Essley,551,551
Paul Rotterdam,552,552
Frances Barth,553,553
Leon Kelly,554,554
Georgia O'Keeffe,555,555
Joan Snyder,556,556
Steven Weinberg,557,557
William Carlson,558,558
Akiko Kotani,559,559
Howard Ben Tré,560,560
Nancy Hemenway,561,561
Doug Ohlson,562,562
Nancy Giesmann,563,563
Albert Paley,564,564
Cynthia Schira,565,565
Helen Frankenthaler,566,566
Mervin Honig,567,567
Glen Lukens,568,568
Burgoyne Diller,569,569
Samuel Halpert,570,570
Bill Jensen,571,571
Luise Kaish,572,572
Craig Langager,573,573
Marilyn Holsing,574,574
Stuart Davis,575,575
Alice Neel,576,576
Margo Hoff,577,577
Edda Renouf,578,578
Frederick Hurten Rhead|Homer Laughlin China Company,579,579
Frederick Hurten Rhead,580,580
Homer Laughlin China Company|Frederick Hurten Rhead,581,581
"Walter Dorwin Teague|Taylor, Smith, & Taylor",582,582
The Hall China Company|J. Palin Thorley,583,583
Alfred Leslie,584,584
Morris Shulman,585,585
Helen Torr,586,586
Jo Davidson,587,587
Robert Smithson,588,588
Hananiah Harari,589,589
Werner Drewes,590,590
John Sennhauser,591,591
Harry Bowden,592,592
Dwinell Grant,593,593
Sylvia Carewe|Manufacture Royale Braquenie d'Aubusson de Felletin et de Maillines,594,594
James Rosenquist,595,595
Francoise Grossen,596,596
Lois Mailou Jones,597,597
Ed Moulthrop,598,598
William Tucker,599,599
Beverly Buchanan,600,600
David Burliuk,601,601
Grace Hartigan,602,602
Robert Swain,603,603
Richard Posner,604,604
Donald Deskey,605,605
Sanford Wurmfeld,606,606
Karl Schrag,607,607
Jackson Pollock,608,608
Yasuo Kuniyoshi,609,609
Matsumi Kanemitsu,610,610
C. K. Chatterton,611,611
Robert Colescott,612,612
Theodore Roszak,613,613
Larry Mohr,614,614
Eliel Saarinen,615,615
Sol LeWitt,616,616
David R. Huchthausen,617,617
Rex Lau,618,618
Garrick Dolberg,619,619
Charles Duncan,620,620
Stephen Rueckert,621,621
Paul T. Frankl,622,622
"Donald Deskey|Deskey-Vollmer, Inc.",623,623
Ron Kent,624,624
Tom Butter,625,625
Mark Tansey,626,626
John Adams Griefen,627,627
Michael Todd,628,628
Anita Weschler,629,629
Irving Petlin,630,630
David Levine,631,631
Mary Frank,632,632
Susan Barron,633,633
Michael Graves|Maloof Architectural Models Inc.,634,634
Ronnie Elliott,635,635
Stephen Edlich,636,636
R.B. Kitaj,637,637
Lyonel Charles Feininger,638,638
Walasse Ting,639,639
Gregory Gillespie,640,640
Horace Pippin,641,641
Billy Sullivan,642,642
Michael David,643,643
Arshile Gorky,644,644
Mark Baum,645,645
Randy Dudley,646,646
Douglas Bond,647,647
John Moore,648,648
Louisa Chase,649,649
Glenn Coleman,650,650
George Ault,651,651
Boris Blai,652,652
"Ilonka Karasz|Buffalo Pottery (Buffalo, New York)",653,653
"Ilonka Karasz|Buffalo China (Buffalo, New York)",654,654
James McGarrell,655,655
Marjorie Portnow,656,656
Dennis Evans,657,657
Robert Laurent,658,658
Frederick Kiesler,659,659
Judson Smith,660,660
Paul Trebilcock,661,661
Gladys Rockmore Davis,662,662
Leo Lionni,663,663
Lenore Tawney,664,664
Ilonka Karasz|Ginzkey,665,665
Ilonka Karasz,666,666
Alexander Archipenko,667,667
Jeanne Duval,668,668
Mark Innerst,669,669
Leonard Koscianski,670,670
Martin Puryear,671,671
Charles Garabedian,672,672
Sharron Quasius,673,673
Narcissus Quagliata,674,674
Robert Natkin,675,675
Margaret Craver,676,676
Marcel Breuer,677,677
Donald Lipski,678,678
Rigoberto Torres,679,679
Gabor F. Peterdi,680,680
Tom Lieber,681,681
John Ahearn,682,682
Elmer Bischoff,683,683
Frank Gehry,684,684
Leon Kroll,685,685
David Park,686,686
Lizbeth Mitty,687,687
Greg Constantine,688,688
Timothy Woodman,689,689
Ciel Bergman,690,690
Craig Henry,691,691
Patrick Palmer,692,692
Irene Rice Pereira,693,693
Biron Valier,694,694
Gerald Walburg,695,695
